LPRICE2,WRAIN,DEGREES,HRAIN,TIME_SV
-0.99868,600,17.1167,160,31
-0.4544,690,16.7333,80,30
-0.80796,502,17.15,130,28
-1.50926,420,16.1333,110,26
-1.71655,582,16.4167,187,25
-0.418,485,17.4833,187,24
-1.97491,763,16.4167,290,23
0,830,17.3333,38,22
-1.10572,697,16.3,52,21
-1.78098,608,15.7167,155,20
-1.18435,402,17.2667,96,19
-2.24194,602,15.3667,267,18
-0.74943,819,16.5333,86,17
-1.65388,714,16.2333,118,16
-2.25018,610,16.2,292,15
-2.14784,575,16.55,244,14
-0.90544,622,16.6667,89,13
-1.30031,551,16.7667,112,12
-2.28879,536,14.9833,158,11
-1.857,376,17.0667,123,10
-2.19958,574,16.3,184,9
-1.20168,572,16.95,171,8
-1.37264,418,17.65,247,7
-2.23503,821,15.5833,87,6
-1.30769,763,15.8167,51,5
-1.5396,717,16.1667,122,4
-1.99582,578,16,74,3
